[2022-07-18 20:11:01,030: INFO: stage_01_load_save]:  >>>>> Stage 01 started
[2022-07-18 20:11:02,530: INFO: all_utils]: directory created at artifacts\raw_local_dir
[2022-07-18 20:11:02,565: INFO: all_utils]: data saved at artifacts\raw_local_dir\data.csv
[2022-07-18 20:11:02,565: INFO: stage_01_load_save]:  >>>>> Stage 01 completed
[2022-07-18 20:11:17,093: INFO: stage_01_load_save]:  >>>>> Stage 01 started
[2022-07-18 20:11:18,265: INFO: all_utils]: directory created at artifacts\raw_local_dir
[2022-07-18 20:11:18,293: INFO: all_utils]: data saved at artifacts\raw_local_dir\data.csv
[2022-07-18 20:11:18,293: INFO: stage_01_load_save]:  >>>>> Stage 01 completed
[2022-07-18 20:11:35,760: INFO: stage_01_load_save]:  >>>>> Stage 01 started
[2022-07-18 20:11:36,929: INFO: all_utils]: directory created at artifacts\raw_local_dir
[2022-07-18 20:11:36,956: INFO: all_utils]: data saved at artifacts\raw_local_dir\data.csv
[2022-07-18 20:11:36,956: INFO: stage_01_load_save]:  >>>>> Stage 01 completed
[2022-07-18 20:12:36,781: INFO: stage_02_split_data]:  >>>>> Stage 02 started
[2022-07-18 20:12:36,797: INFO: all_utils]: directory created at artifacts\split_data
[2022-07-18 20:12:36,811: INFO: all_utils]: data saved at artifacts\split_data\train.csv
[2022-07-18 20:12:36,819: INFO: all_utils]: data saved at artifacts\split_data\test.csv
[2022-07-18 20:12:36,819: INFO: stage_02_split_data]:  >>>>> Stage 02 completed
[2022-07-18 20:33:55,541: INFO: stage_01_load_save]:  >>>>> Stage 01 started
[2022-07-18 20:33:56,734: INFO: all_utils]: directory created at artifacts\raw_local_dir
[2022-07-18 20:33:56,766: INFO: all_utils]: data saved at artifacts\raw_local_dir\data.csv
[2022-07-18 20:33:56,767: INFO: stage_01_load_save]:  >>>>> Stage 01 completed
[2022-07-18 20:34:03,080: INFO: stage_03_train]:  >>>>> Stage 03 started
[2022-07-18 20:34:03,109: INFO: all_utils]: directory created at artifacts\model
[2022-07-18 20:34:03,111: INFO: stage_03_train]:  >>>>> Stage 03 completed
[2022-07-18 20:34:07,987: INFO: stage_04_evaluate]:  >>>>> Stage 04 started
[2022-07-18 20:34:08,183: INFO: all_utils]: directory created at artifacts\reports
[2022-07-18 20:34:08,184: INFO: all_utils]: reports are saved at artifacts\reports\scores.json
[2022-07-18 20:34:08,185: INFO: stage_04_evaluate]:  >>>>> Stage 04 completed
